experiment_series	assay_type	experiment	fastqs	fastqs_run_type	assembly	preferred_default_bed_narrowPeak	preferred_default_bed_narrowPeak_download_urls	preferred_default_bed_narrowPeak_md5sums	preferred_default_bed_narrowPeak_qc_metrics	unfiltered_alignments	unfiltered_alignments_download_urls	unfiltered_alignments_md5sums	unfiltered_alignments_qc_metrics	alignments	alignments_download_urls	alignments_md5sums	alignments_qc_metrics
NNNN	ATAC-seq	ENCSR553LAZ	['ENCFF171DIZ', 'ENCFF609APV', 'ENCFF097DWT', 'ENCFF308XOA', 'ENCFF607BQL', 'ENCFF088ONP', 'ENCFF238ZAZ', 'ENCFF183RSV', 'ENCFF252NNF', 'ENCFF991BFK', 'ENCFF592TUD', 'ENCFF919OHK', 'ENCFF011ANA', 'ENCFF501VCA', 'ENCFF515KCZ', 'ENCFF503QDF']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF994UIF']	['https://www.encodeproject.org/files/ENCFF994UIF/@@download/ENCFF994UIF.bed.gz']	['e1f9b3d65063266c907feb5f63e8d6d5']	[{}]	['ENCFF854FYZ']	['https://www.encodeproject.org/files/ENCFF854FYZ/@@download/ENCFF854FYZ.bam']	['0fbfe66584c11e666b2b20ece952906c']	[{}]	['ENCFF670ESU']	['https://www.encodeproject.org/files/ENCFF670ESU/@@download/ENCFF670ESU.bam']	['a7064c0e34b24b444e7374e4438aedc0']	[{}]
NNNN	ATAC-seq	ENCSR890DWH	['ENCFF948HEP', 'ENCFF013SJW', 'ENCFF649EKG', 'ENCFF242SQU', 'ENCFF055FNS', 'ENCFF797OSG', 'ENCFF158VXX', 'ENCFF857UPR', 'ENCFF414HDJ', 'ENCFF311VMZ', 'ENCFF901MNT', 'ENCFF088BII', 'ENCFF538AZN', 'ENCFF566DXI', 'ENCFF293ZAB', 'ENCFF388BOG']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF615ZFR']	['https://www.encodeproject.org/files/ENCFF615ZFR/@@download/ENCFF615ZFR.bed.gz']	['c65ad819e889006e4574a203778b8c91']	[{}]	['ENCFF423CMV']	['https://www.encodeproject.org/files/ENCFF423CMV/@@download/ENCFF423CMV.bam']	['ea5f01c4dbe77c74f026420ea14940e1']	[{}]	['ENCFF153JDD']	['https://www.encodeproject.org/files/ENCFF153JDD/@@download/ENCFF153JDD.bam']	['3ffd83f0d576bf99385de244849af90a']	[{}]
NNNN	[]	ENCSR886VCC	['ENCFF056ASO', 'ENCFF945FIT', 'ENCFF078BFD', 'ENCFF667OKL', 'ENCFF837BVK', 'ENCFF897IZE', 'ENCFF406ZHS', 'ENCFF116TDW', 'ENCFF059VOX', 'ENCFF188ZDT', 'ENCFF853LLO', 'ENCFF983RNU', 'ENCFF376KSC', 'ENCFF790SAA', 'ENCFF905KSO', 'ENCFF980CBL']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']		[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
NNNN	ATAC-seq	ENCSR227FVE	['ENCFF701ZMO', 'ENCFF657LKB', 'ENCFF141FAN', 'ENCFF802LJV', 'ENCFF380XCO', 'ENCFF422YVU', 'ENCFF222BWF', 'ENCFF759PVY', 'ENCFF881JJZ', 'ENCFF525SJZ', 'ENCFF164KLK', 'ENCFF333LSH', 'ENCFF428YEM', 'ENCFF596MSZ', 'ENCFF605MSO', 'ENCFF858DFG']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF497SGQ']	['https://www.encodeproject.org/files/ENCFF497SGQ/@@download/ENCFF497SGQ.bed.gz']	['2252ecbd4ca19d522caa12690cc605f7']	[{}]	['ENCFF601UEX']	['https://www.encodeproject.org/files/ENCFF601UEX/@@download/ENCFF601UEX.bam']	['83fc5a7808002ab2bb207dad00b1b9a6']	[{}]	['ENCFF615QSS']	['https://www.encodeproject.org/files/ENCFF615QSS/@@download/ENCFF615QSS.bam']	['d8891a03118aa93834b9ef7cd0d36adb']	[{}]
NNNN	[]	ENCSR855BMI	['ENCFF936ZYB', 'ENCFF020MRQ', 'ENCFF238QOK', 'ENCFF376BLA', 'ENCFF025ZTN', 'ENCFF794NKR', 'ENCFF226BJS', 'ENCFF436ZSM', 'ENCFF856LHF', 'ENCFF015ZXD', 'ENCFF370DXG', 'ENCFF686RIT', 'ENCFF681QIM', 'ENCFF543JVJ', 'ENCFF584DJP', 'ENCFF922BKC']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']		[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
NNNN	ATAC-seq	ENCSR812ZKP	['ENCFF317AGI', 'ENCFF616FMC', 'ENCFF393DWI', 'ENCFF330SSF']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF594FVI']	['https://www.encodeproject.org/files/ENCFF594FVI/@@download/ENCFF594FVI.bed.gz']	['b5477c5f27c85874a3b860b7e2933004']	[{}]	['ENCFF761OAF', 'ENCFF290SSQ']	['https://www.encodeproject.org/files/ENCFF761OAF/@@download/ENCFF761OAF.bam', 'https://www.encodeproject.org/files/ENCFF290SSQ/@@download/ENCFF290SSQ.bam']	['02298ef7c078b05fc6a018d8b45211ca', 'ea6d9b5a24d265c8ddf4fbe65f8b8f11']	[{}, {}]	['ENCFF333UUT', 'ENCFF379GTS']	['https://www.encodeproject.org/files/ENCFF333UUT/@@download/ENCFF333UUT.bam', 'https://www.encodeproject.org/files/ENCFF379GTS/@@download/ENCFF379GTS.bam']	['65eb040181c7cd7688b00600e432a1ea', '32394ca79d4aaf5cad908a132a9e37a0']	[{}, {}]
NNNN	ATAC-seq	ENCSR516CPW	['ENCFF121HNL', 'ENCFF258FSD', 'ENCFF644FLM', 'ENCFF037CNN', 'ENCFF027FGL', 'ENCFF427JKN', 'ENCFF904URI', 'ENCFF742TLB', 'ENCFF080NVW', 'ENCFF735VYE', 'ENCFF660JBQ', 'ENCFF371SCL', 'ENCFF617RMO', 'ENCFF858VYQ', 'ENCFF242NSP', 'ENCFF406GLW']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF318SNW']	['https://www.encodeproject.org/files/ENCFF318SNW/@@download/ENCFF318SNW.bed.gz']	['a8f613f6a29abdacb36ea5e7ada331af']	[{}]	['ENCFF725GWQ']	['https://www.encodeproject.org/files/ENCFF725GWQ/@@download/ENCFF725GWQ.bam']	['0bde61383eb008aa807a570742350d9c']	[{}]	['ENCFF005CQM']	['https://www.encodeproject.org/files/ENCFF005CQM/@@download/ENCFF005CQM.bam']	['628fc9019c5512f0016411ab64877cd8']	[{}]
NNNN	ATAC-seq	ENCSR731ODJ	['ENCFF165ONS', 'ENCFF643PPX', 'ENCFF501MHR', 'ENCFF381NYY', 'ENCFF729BWY', 'ENCFF118GSX', 'ENCFF752DHN', 'ENCFF644UMI', 'ENCFF077NYU', 'ENCFF696MCR', 'ENCFF460VTG', 'ENCFF659VKJ', 'ENCFF640EBG', 'ENCFF401LKQ', 'ENCFF430ZNS', 'ENCFF609EBF']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF515EVC']	['https://www.encodeproject.org/files/ENCFF515EVC/@@download/ENCFF515EVC.bed.gz']	['67db93f88088e1fdc047e3b77971f642']	[{}]	['ENCFF719BHM']	['https://www.encodeproject.org/files/ENCFF719BHM/@@download/ENCFF719BHM.bam']	['4195b2ee8c375e70089cf3271cd8d493']	[{}]	['ENCFF956OQF']	['https://www.encodeproject.org/files/ENCFF956OQF/@@download/ENCFF956OQF.bam']	['2dbcf86c743a646550666502ce05a194']	[{}]
NNNN	ATAC-seq	ENCSR241OBO	['ENCFF817MYO', 'ENCFF106DBO', 'ENCFF822XYS', 'ENCFF297VUS', 'ENCFF340MZP', 'ENCFF093HFA', 'ENCFF123HNZ', 'ENCFF322TJJ', 'ENCFF126VJY', 'ENCFF690EEF', 'ENCFF848EHN', 'ENCFF629JGL', 'ENCFF070MVJ', 'ENCFF598OBJ', 'ENCFF663XJX', 'ENCFF077NBR']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF541GYF']	['https://www.encodeproject.org/files/ENCFF541GYF/@@download/ENCFF541GYF.bed.gz']	['b725daa904a45e640645eae1c39b73bf']	[{}]	['ENCFF586GDF']	['https://www.encodeproject.org/files/ENCFF586GDF/@@download/ENCFF586GDF.bam']	['227dfa7b1751764516c127e4d85b81e5']	[{}]	['ENCFF757CCU']	['https://www.encodeproject.org/files/ENCFF757CCU/@@download/ENCFF757CCU.bam']	['26b7f950c87b2313e7eeeca331f65397']	[{}]
NNNN	ATAC-seq	ENCSR634WYX	['ENCFF539CAZ', 'ENCFF009AKO', 'ENCFF314CSE', 'ENCFF279CUU']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF305GXR']	['https://www.encodeproject.org/files/ENCFF305GXR/@@download/ENCFF305GXR.bed.gz']	['bc4cbbac41b062cd22766e30fbbbfe48']	[{}]	['ENCFF494SLX', 'ENCFF773UIZ']	['https://www.encodeproject.org/files/ENCFF494SLX/@@download/ENCFF494SLX.bam', 'https://www.encodeproject.org/files/ENCFF773UIZ/@@download/ENCFF773UIZ.bam']	['59eb2a7c5a1ad5f32de3800273c4bdfc', 'aa44e7c8ab5ce6a7dc1d42002f9dcde0']	[{}, {}]	['ENCFF786BZU', 'ENCFF079ETH']	['https://www.encodeproject.org/files/ENCFF786BZU/@@download/ENCFF786BZU.bam', 'https://www.encodeproject.org/files/ENCFF079ETH/@@download/ENCFF079ETH.bam']	['f3dd0ceb4892d055890b2f7a2335c232', '86137fb40680637cdb88337721f9b89d']	[{}, {}]
