experiment_series	assay_type	experiment	fastqs	fastqs_run_type	assembly	preferred_default_bed_narrowPeak	preferred_default_bed_narrowPeak_download_urls	preferred_default_bed_narrowPeak_md5sums	preferred_default_bed_narrowPeak_qc_metrics	unfiltered_alignments	unfiltered_alignments_download_urls	unfiltered_alignments_md5sums	unfiltered_alignments_qc_metrics	alignments	alignments_download_urls	alignments_md5sums	alignments_qc_metrics
NNNN	DNase-seq	ENCSR524QPZ	['ENCFF879XYN', 'ENCFF519UNG', 'ENCFF511KRD', 'ENCFF458UAK']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF256HHR']	['https://www.encodeproject.org/files/ENCFF256HHR/@@download/ENCFF256HHR.bed.gz']	['cbcf038d570ec4dc65d7dc9e4e141121']	[{}]	['ENCFF034AEG']	['https://www.encodeproject.org/files/ENCFF034AEG/@@download/ENCFF034AEG.bam']	['5a4033ca754fa1a7a3116fcc53d3fbec']	[{}]	['ENCFF719OSY']	['https://www.encodeproject.org/files/ENCFF719OSY/@@download/ENCFF719OSY.bam']	['962fade9f959975bf05c7de39cfd914c']	[{}]
NNNN	DNase-seq	ENCSR426TPQ	['ENCFF900AXM', 'ENCFF239YUP', 'ENCFF041IQZ', 'ENCFF403GAI']	['single-ended', 'single-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF020OJE']	['https://www.encodeproject.org/files/ENCFF020OJE/@@download/ENCFF020OJE.bed.gz']	['7e56cd2908f2fb500cf77745a58e7007']	[{}]	['ENCFF235FOP']	['https://www.encodeproject.org/files/ENCFF235FOP/@@download/ENCFF235FOP.bam']	['3c2359caedb5b2e18cda5511c53c9f9b']	[{}]	['ENCFF765JWE']	['https://www.encodeproject.org/files/ENCFF765JWE/@@download/ENCFF765JWE.bam']	['cefe34ef82cdf013a2d5d6570169232a']	[{}]
NNNN	DNase-seq	ENCSR938UOR	['ENCFF984WAD', 'ENCFF045WLX']	['single-ended', 'single-ended']	GRCh38	['ENCFF055FYP']	['https://www.encodeproject.org/files/ENCFF055FYP/@@download/ENCFF055FYP.bed.gz']	['31dab0062b1a721506104eaa6ae0ab26']	[{}]	['ENCFF071RKT']	['https://www.encodeproject.org/files/ENCFF071RKT/@@download/ENCFF071RKT.bam']	['d8ff91d489a7ac0b236b3088a1637130']	[{}]	['ENCFF956NIR']	['https://www.encodeproject.org/files/ENCFF956NIR/@@download/ENCFF956NIR.bam']	['f7c2eb939a350261dc3d30fe8da93c7f']	[{}]
NNNN	DNase-seq	ENCSR820XRX	['ENCFF587MSJ', 'ENCFF829USQ']	['single-ended', 'single-ended']	GRCh38	['ENCFF014KIO']	['https://www.encodeproject.org/files/ENCFF014KIO/@@download/ENCFF014KIO.bed.gz']	['6c16402ee6522ff0cf9cea5b5484845a']	[{}]	['ENCFF620DWN']	['https://www.encodeproject.org/files/ENCFF620DWN/@@download/ENCFF620DWN.bam']	['6990506c18562b22229e2fa8f7b69f4f']	[{}]	['ENCFF975ZSN']	['https://www.encodeproject.org/files/ENCFF975ZSN/@@download/ENCFF975ZSN.bam']	['22edf862f4612dfa1641e9f6e2dafeb3']	[{}]
NNNN	DNase-seq	ENCSR309FOO	['ENCFF922ZGB']	['single-ended']	GRCh38	['ENCFF079REB']	['https://www.encodeproject.org/files/ENCFF079REB/@@download/ENCFF079REB.bed.gz']	['caa6ee3e615a748fcafce6153fb6e28d']	[{}]	['ENCFF983HWN']	['https://www.encodeproject.org/files/ENCFF983HWN/@@download/ENCFF983HWN.bam']	['7c64b5e88b23894c0eb911aae48d5b2f']	[{}]	['ENCFF436UQZ']	['https://www.encodeproject.org/files/ENCFF436UQZ/@@download/ENCFF436UQZ.bam']	['88ff471a70e5f143bd441ca79b36d5ed']	[{}]
NNNN	DNase-seq	ENCSR594OWA	['ENCFF404NLX']	['single-ended']	GRCh38	['ENCFF478NDZ']	['https://www.encodeproject.org/files/ENCFF478NDZ/@@download/ENCFF478NDZ.bed.gz']	['2e27acb15abcc5da3293f9d5454c710d']	[{}]	['ENCFF784SAO']	['https://www.encodeproject.org/files/ENCFF784SAO/@@download/ENCFF784SAO.bam']	['d991401d688388069c092c9bc72036a6']	[{}]	['ENCFF768OXG']	['https://www.encodeproject.org/files/ENCFF768OXG/@@download/ENCFF768OXG.bam']	['f85fe8c03ae5b461de2ae262cc68e94a']	[{}]
NNNN	DNase-seq	ENCSR865CYW	['ENCFF393NUN', 'ENCFF637WZF', 'ENCFF785ZOD', 'ENCFF925XMU']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF396EDV']	['https://www.encodeproject.org/files/ENCFF396EDV/@@download/ENCFF396EDV.bed.gz']	['4640942353f1109443f0b52504ac0697']	[{}]	['ENCFF336SAW']	['https://www.encodeproject.org/files/ENCFF336SAW/@@download/ENCFF336SAW.bam']	['9ba93c860bc305c87bb9481f547acd68']	[{}]	['ENCFF096RBN']	['https://www.encodeproject.org/files/ENCFF096RBN/@@download/ENCFF096RBN.bam']	['dba5169c2606d210792ee5ff86fba083']	[{}]
NNNN	DNase-seq	ENCSR172PVJ	['ENCFF982BSC']	['single-ended']	GRCh38	['ENCFF003ISR']	['https://www.encodeproject.org/files/ENCFF003ISR/@@download/ENCFF003ISR.bed.gz']	['5f994d4fdde8e45816bf9bca4b32c268']	[{}]	['ENCFF164BAR']	['https://www.encodeproject.org/files/ENCFF164BAR/@@download/ENCFF164BAR.bam']	['e9613e17628cc9fc4dd989b71894e60b']	[{}]	['ENCFF027MFO']	['https://www.encodeproject.org/files/ENCFF027MFO/@@download/ENCFF027MFO.bam']	['619fa2da5e02727e8360f6652212081e']	[{}]
NNNN	DNase-seq	ENCSR731QLJ	['ENCFF864ZSR', 'ENCFF951RZO', 'ENCFF070ZUX', 'ENCFF461HXJ', 'ENCFF910MZZ', 'ENCFF955RTD']	['single-ended', 'paired-ended', 'single-ended', 'paired-ended', 'single-ended', 'single-ended']	GRCh38	['ENCFF536PSZ']	['https://www.encodeproject.org/files/ENCFF536PSZ/@@download/ENCFF536PSZ.bed.gz']	['63fbe7a49a3c49016365a9a019b173a7']	[{}]	['ENCFF701GQV']	['https://www.encodeproject.org/files/ENCFF701GQV/@@download/ENCFF701GQV.bam']	['135a305ad96938cb1a9c139de52f4670']	[{}]	['ENCFF474HCY']	['https://www.encodeproject.org/files/ENCFF474HCY/@@download/ENCFF474HCY.bam']	['ce65f9d82d8433331778769043a662c1']	[{}]
NNNN	DNase-seq	ENCSR062DXC	['ENCFF252UQF', 'ENCFF163YUT', 'ENCFF165LIK', 'ENCFF350TJS', 'ENCFF784NTC', 'ENCFF353FEG']	['single-ended', 'single-ended', 'single-ended', 'single-ended', 'single-ended', 'single-ended']	GRCh38	['ENCFF349WKN']	['https://www.encodeproject.org/files/ENCFF349WKN/@@download/ENCFF349WKN.bed.gz']	['ebba05dd27f45c8261687609f7f00b15']	[{}]	['ENCFF090RIU']	['https://www.encodeproject.org/files/ENCFF090RIU/@@download/ENCFF090RIU.bam']	['55776f85bec14eb7308da2170d70e15a']	[{}]	['ENCFF845KHW']	['https://www.encodeproject.org/files/ENCFF845KHW/@@download/ENCFF845KHW.bam']	['cb14ca621ffe45421bb4486f44ae56dc']	[{}]
