experiment_series	assay_type	experiment	fastqs	fastqs_run_type	assembly	preferred_default_bed_narrowPeak	preferred_default_bed_narrowPeak_download_urls	preferred_default_bed_narrowPeak_md5sums	preferred_default_bed_narrowPeak_qc_metrics	unfiltered_alignments	unfiltered_alignments_download_urls	unfiltered_alignments_md5sums	unfiltered_alignments_qc_metrics	alignments	alignments_download_urls	alignments_md5sums	alignments_qc_metrics
NNNN	DNase-seq	ENCSR000EIK	['ENCFF000SGJ', 'ENCFF000SGL']	['single-ended', 'single-ended']	GRCh38	['ENCFF400QKK']	['https://www.encodeproject.org/files/ENCFF400QKK/@@download/ENCFF400QKK.bed.gz']	['1241201168910a69d39fe052f53f56fe']	[{}]	['ENCFF759ZVG', 'ENCFF089BNZ']	['https://www.encodeproject.org/files/ENCFF759ZVG/@@download/ENCFF759ZVG.bam', 'https://www.encodeproject.org/files/ENCFF089BNZ/@@download/ENCFF089BNZ.bam']	['85615064449fee0ad547e5ce4ba71d0e', '358ccae510a77bb00642a54a85224bb8']	[{}, {}]	['ENCFF939YKY', 'ENCFF846MVS']	['https://www.encodeproject.org/files/ENCFF939YKY/@@download/ENCFF939YKY.bam', 'https://www.encodeproject.org/files/ENCFF846MVS/@@download/ENCFF846MVS.bam']	['8d987179b030d5366d60261d45dcd0c9', 'e38a1abe085d7270afd7559ebdb50904']	[{}, {}]
NNNN	DNase-seq	ENCSR000EIW	['ENCFF000SJD', 'ENCFF000SJF', 'ENCFF000SJL']	['single-ended', 'single-ended', 'single-ended']	GRCh38	['ENCFF378HOL']	['https://www.encodeproject.org/files/ENCFF378HOL/@@download/ENCFF378HOL.bed.gz']	['523506f105b21248ba5081ec96b95e8b']	[{}]	['ENCFF506CPQ']	['https://www.encodeproject.org/files/ENCFF506CPQ/@@download/ENCFF506CPQ.bam']	['ec7f5569248aaa66401c2393f1eddee9']	[{}]	['ENCFF653BZP']	['https://www.encodeproject.org/files/ENCFF653BZP/@@download/ENCFF653BZP.bam']	['48e808b2fa66ceaa7db95e1f96a35812']	[{}]
NNNN	DNase-seq	ENCSR000EJL	['ENCFF000SNT', 'ENCFF000SNV']	['single-ended', 'single-ended']	GRCh38	['ENCFF594FRC']	['https://www.encodeproject.org/files/ENCFF594FRC/@@download/ENCFF594FRC.bed.gz']	['e97d2b4dc686e7cd78638dea9113952c']	[{}]	['ENCFF437NVY']	['https://www.encodeproject.org/files/ENCFF437NVY/@@download/ENCFF437NVY.bam']	['9c0be2a7cbb93145015d0d3f0e34e3ed']	[{}]	['ENCFF078KDW']	['https://www.encodeproject.org/files/ENCFF078KDW/@@download/ENCFF078KDW.bam']	['667509b4c7ac34b3983a62545bf3a87d']	[{}]
NNNN	DNase-seq	ENCSR000EJO	['ENCFF000SOV', 'ENCFF000SOW', 'ENCFF000SOX']	['single-ended', 'single-ended', 'single-ended']	GRCh38	['ENCFF114QGN']	['https://www.encodeproject.org/files/ENCFF114QGN/@@download/ENCFF114QGN.bed.gz']	['29752fcb372b09cda58bea6f60eb9f5c']	[{}]	['ENCFF930YYX']	['https://www.encodeproject.org/files/ENCFF930YYX/@@download/ENCFF930YYX.bam']	['e01cd199ba48f081003eece5ee033e6d']	[{}]	['ENCFF689PUO']	['https://www.encodeproject.org/files/ENCFF689PUO/@@download/ENCFF689PUO.bam']	['69fe60f8660b9021579ba028bb8306cb']	[{}]
NNNN	DNase-seq	ENCSR000EJP	['ENCFF000SOT', 'ENCFF000SOZ']	['single-ended', 'single-ended']	GRCh38	['ENCFF077FEP']	['https://www.encodeproject.org/files/ENCFF077FEP/@@download/ENCFF077FEP.bed.gz']	['36dd244f88bde5a1e2eecc97ac5e6815']	[{}]	['ENCFF427RZA']	['https://www.encodeproject.org/files/ENCFF427RZA/@@download/ENCFF427RZA.bam']	['36a174594fd294deb78caec07fe671fa']	[{}]	['ENCFF794AMX']	['https://www.encodeproject.org/files/ENCFF794AMX/@@download/ENCFF794AMX.bam']	['581760d96f8d49205cee5f51132e9d15']	[{}]
NNNN	DNase-seq	ENCSR000EIE	['ENCFF000SEO', 'ENCFF000SER']	['single-ended', 'single-ended']	GRCh38	['ENCFF302JWZ']	['https://www.encodeproject.org/files/ENCFF302JWZ/@@download/ENCFF302JWZ.bed.gz']	['e4055b89720bbf779a9f400edb81c8da']	[{}]	['ENCFF995HBI']	['https://www.encodeproject.org/files/ENCFF995HBI/@@download/ENCFF995HBI.bam']	['a32a926c2bec60f4f84f99723a8fba00']	[{}]	['ENCFF539TQP']	['https://www.encodeproject.org/files/ENCFF539TQP/@@download/ENCFF539TQP.bam']	['680c087f98a3a965318cce460da3c45b']	[{}]
NNNN	DNase-seq	ENCSR000EJK	['ENCFF000SNP', 'ENCFF000SNR']	['single-ended', 'single-ended']	GRCh38	['ENCFF801NEP']	['https://www.encodeproject.org/files/ENCFF801NEP/@@download/ENCFF801NEP.bed.gz']	['e12b023d43d9152e385a44b894e085da']	[{}]	['ENCFF314DTG']	['https://www.encodeproject.org/files/ENCFF314DTG/@@download/ENCFF314DTG.bam']	['dd2467f9757e1a33ae262a0568a6d4a4']	[{}]	['ENCFF898IKW']	['https://www.encodeproject.org/files/ENCFF898IKW/@@download/ENCFF898IKW.bam']	['97268b50cd0f242eebc03b67cc594684']	[{}]
NNNN	DNase-seq	ENCSR000EJH	['ENCFF000SNB', 'ENCFF000SND']	['single-ended', 'single-ended']	GRCh38	['ENCFF155GXQ']	['https://www.encodeproject.org/files/ENCFF155GXQ/@@download/ENCFF155GXQ.bed.gz']	['fe8845a8a0c8803865044a5f1ba87fc8']	[{}]	['ENCFF885UZH']	['https://www.encodeproject.org/files/ENCFF885UZH/@@download/ENCFF885UZH.bam']	['622d2a9ec4dc00ea1413920fdd89d82f']	[{}]	['ENCFF965BFK']	['https://www.encodeproject.org/files/ENCFF965BFK/@@download/ENCFF965BFK.bam']	['76f952b432197ab5969de313e91938fd']	[{}]
NNNN	DNase-seq	ENCSR000EJT	['ENCFF000SPW', 'ENCFF000SQC', 'ENCFF000SQH']	['single-ended', 'single-ended', 'single-ended']	GRCh38	['ENCFF024UJN']	['https://www.encodeproject.org/files/ENCFF024UJN/@@download/ENCFF024UJN.bed.gz']	['cf665fba22d8cfc7fc91c8f4593ce48c']	[{}]	['ENCFF187PXI']	['https://www.encodeproject.org/files/ENCFF187PXI/@@download/ENCFF187PXI.bam']	['1a5e557c11d8576798f280274762a29f']	[{}]	['ENCFF348KOY']	['https://www.encodeproject.org/files/ENCFF348KOY/@@download/ENCFF348KOY.bam']	['9ebf7660cfff6858d6615130e95e74b1']	[{}]
NNNN	DNase-seq	ENCSR000ELD	['ENCFF000TAS', 'ENCFF000TAT']	['single-ended', 'single-ended']	GRCh38	['ENCFF930MBH']	['https://www.encodeproject.org/files/ENCFF930MBH/@@download/ENCFF930MBH.bed.gz']	['09048f01fbec5cd77d79c58ede45dad4']	[{}]	['ENCFF786HBB']	['https://www.encodeproject.org/files/ENCFF786HBB/@@download/ENCFF786HBB.bam']	['7fe87ec5c0e80e55430cd72dc3e35552']	[{}]	['ENCFF218MSU']	['https://www.encodeproject.org/files/ENCFF218MSU/@@download/ENCFF218MSU.bam']	['14322b81a6f24aafaf9f4d3d4159d9b7']	[{}]
